DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,FORM_NAME,FORM_50,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
94,1471,Methomyl,0.63,LC50,Methomyl 20SL,1.1,1471_ai_c,1471_form_c,1471_3,1,Lepomis macrochirus,Bluegill sunfish,96,Insecticide,NA,Acute,Soluble Concentrate,UNSURE,NA,NA,NA
95,1471,Methomyl,0.28,LD50,Methomyl 20SL,0.2,1471_ai_d,1471_form_d,1471_4,1,Apis mellifera,Honeybee,48,Insecticide,Oral,Acute,Soluble Concentrate,YES,NA,NA,NA
96,1471,Methomyl,0.16,LD50,Methomyl 20SL,0.17,1471_ai_e,1471_form_e,1471_5,1,Apis mellifera,Honeybee,48,Insecticide,Contact,Acute,Soluble Concentrate,YES,NA,NA,NA
97,1469,Dimethoate,2,EC50,Dimethoate 400 EC,2.2,1469_ai_a,1469_form_a,1469_1,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
98,1469,Dimethoate,90.4,EC50,Dimethoate 400 EC,93.3,1469_ai_b,1469_form_b,1469_2,1,Selenastrum capricornutum,NA,72,Insecticide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
99,1469,Dimethoate,31,LC50,Dimethoate 400 EC,84.5,1469_ai_c,1469_form_c,1469_3,1,NA,Earthworm,336,Insecticide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
100,1472,Diazinon,0.09,LD50,Diazol 60 EC,0.13,1472_ai_a,1472_form_a,1472_1,1,Apis mellifera,Honeybee,48,Insecticide,Oral,Acute,Emusifiable Concentrate,YES,NA,NA,NA
101,1472,Diazinon,0.13,LD50,Diazol 60 EC,0.63,1472_ai_b,1472_form_b,1472_2,1,Apis mellifera,Honeybee,48,Insecticide,Contact,Acute,Emusifiable Concentrate,YES,NA,NA,NA
102,1470,Oxydemeton-methyl,34,LD50,Metasystox 250 EC,16.24,1470_ai_a,1470_form_a,1470_1,1,Colinus virginianus,Bobwhite quail,NA,Insecticide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
103,1470,Oxydemeton-methyl,0.11,EC50,Metasystox 250 EC,0.34,1470_ai_b,1470_form_b,1470_2,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
104,1470,Oxydemeton-methyl,115,LC50,Metasystox 250 EC,80,1470_ai_c,1470_form_c,1470_3,1,NA,Earthworm,336,Insecticide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
105,1570,Haloxyfop-R methyl ester,>12.3,EC50,EF-1400,1.56,1474_ai_b,1474_form_b,1474_2,1,Daphnia magna,Water flea,48,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
106,1570,Haloxyfop-R methyl ester,3.1,EC50,EF-1400,23.4,1474_ai_d,1474_form_d,1474_4,1,Lemna minor,NA,336,Herbicide,NA,Acute,Emusifiable Concentrate,NO,YES,NA,NA
107,1570,Haloxyfop-R methyl ester,672,LC50,EF-1400,40.6,1474_ai_g,1474_form_g,1474_7,1,NA,Earthworm,NA,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
108,1475,Metribuzin,74.6,LC50,Mistral,134.2,1475_ai_a,1475_form_a,1475_1,1,Oncorhynchus mykiss,Rainbow trout,96,Herbicide,NA,Acute,Water dispersible granule,UNSURE,NA,NA,NA
109,1475,Metribuzin,49,EC50,Mistral,58,1475_ai_b,1475_form_b,1475_2,1,Daphnia magna,Water flea,48,Herbicide,NA,Acute,Water dispersible granule,UNSURE,NA,NA,NA
110,1475,Metribuzin,0.02,EC50,Mistral,0.04,1475_ai_c,1475_form_c,1475_3,1,Scenedesmus subspicatus,NA,72,Herbicide,NA,Acute,Water dispersible granule,UNSURE,NA,NA,NA
111,1475,Metribuzin,166,LD50,Mistral,37.1,1475_ai_d,1475_form_e,1475_4,1,Apis mellifera,Honeybee,NA,Herbicide,Oral,Acute,Water dispersible granule,YES,NA,NA,NA
112,1475,Metribuzin,166,LD50,Metribuzin 70 WG,134,1475_ai_d,1475_form_f,1475_5,1,Apis mellifera,Honeybee,NA,Herbicide,Oral,Acute,Water dispersible granule,YES,NA,NA,NA
113,1475,Metribuzin,200,LD50,Mistral,200,1475_ai_g,1475_form_h,1475_6,1,Apis mellifera,Honeybee,NA,Herbicide,Contact,Acute,Water dispersible granule,YES,NA,NA,NA
114,1475,Metribuzin,200,LD50,Metribuzin 70 WG,700,1475_ai_g,1475_form_i,1475_7,1,Apis mellifera,Honeybee,NA,Herbicide,Contact,Acute,Water dispersible granule,YES,NA,NA,NA
115,1569,Carbosulfan,10,LD50,Marshal 25CS,12,1477_ai_a,1477_form_a,1477_1,1,Anas platyrhynchos,NA,NA,Insecticide,NA,Acute,Granule,UNSURE,NA,NA,NA
116,1569,Carbosulfan,0.0015,EC50,Marshal 10G,0.00105,1477_ai_b,1477_form_c,1477_2,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Granule,YES,NA,NA,NA
117,1569,Carbosulfan,0.0015,EC50,Marshal 25CS,0.00104,1477_ai_b,1477_form_d,1477_3,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Granule,YES,NA,NA,NA
118,1479,Spriromesifen,0.016,LC50,Oberon SC 240,0.105,1479_ai_a,1479_form_a,1479_1,1,Oncorhynchus mykiss,Rainbow trout,96,Insecticide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
119,1479,Spriromesifen,>0.034,LC50,Oberon SC 240,0.057,1479_ai_b,1479_form_b,1479_2,1,Lepomis macrochirus,NA,96,Insecticide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
120,1479,Spriromesifen,>0.092,EC50,Oberon SC 240,15.9,1479_ai_c,1479_form_c,1479_3,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
121,1479,Spriromesifen,>0.094,EC50,Oberon SC 240,>1.48,1479_ai_d,1479_form_d,1479_4,2,Pseudokirchneriella subcapitata,NA,72,Insecticide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
122,1479,Spriromesifen,>0.094,EC50,Oberon SC 240,>1.48,1479_ai_d,1479_form_d,1479_5,1,Pseudokirchneriella subcapitata,NA,72,Insecticide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
123,1479,Spriromesifen,792.4,LD50,Oberon SC 240,>60.2,1479_ai_e,1479_form_e,1479_6,1,Apis mellifera,Honeybee,NA,Insecticide,Oral,Acute,Suspension Concentrate,YES,NA,NA,NA
124,1479,Spriromesifen,>200,LD50,Oberon SC 240,>200,1479_ai_f,1479_form_f,1479_7,1,Apis mellifera,Honeybee,NA,Insecticide,Contact,Acute,Suspension Concentrate,YES,NA,NA,NA
125,1479,Spriromesifen,>1000,LC50,Oberon SC 240,>1000,1479_ai_g,1479_form_g,1479_8,1,NA,Earthworm,NA,Insecticide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
126,1483,Benthiavalicarb-isopropyl,>10,LC50,KIF-230 15% WG,>15,1483_ai_a,1483_form_a,1483_1,1,Oncorhynchus mykiss,Rainbow trout,96,Fungicide,NA,Acute,Water dispersible granule,NO,YES,NA,NA
127,1483,Benthiavalicarb-isopropyl,>10,EC50,KIF-230 15% WG,>15,1483_ai_b,1483_form_b,1483_2,1,Daphnia magna,Water flea,48,Fungicide,NA,Acute,Water dispersible granule,NO,YES,NA,NA
128,1483,Benthiavalicarb-isopropyl,>10,EC50,KIF-230 15% WG,4.2,1483_ai_c,1483_form_c,1483_6,2,Pseudokirchneriella subcapitata,NA,72,Fungicide,NA,Acute,Water dispersible granule,NO,YES,NA,NA
129,1483,Benthiavalicarb-isopropyl,>10,EC50,KIF-230 15% WG,>15,1483_ai_c,1483_form_c,1483_3,1,Pseudokirchneriella subcapitata,NA,72,Fungicide,NA,Acute,Water dispersible granule,NO,YES,NA,NA
130,1483,Benthiavalicarb-isopropyl,>100,LD50,KIF-230 15% WG,>100,1483_ai_d,1483_form_d,1483_4,1,Apis mellifera,Honeybee,NA,Fungicide,Oral,Acute,Water dispersible granule,YES,NA,NA,NA
131,1483,Benthiavalicarb-isopropyl,>100,LD50,KIF-230 15% WG,>100,1483_ai_e,1483_form_e,1483_5,1,Apis mellifera,Honeybee,NA,Fungicide,Contact,Acute,Water dispersible granule,YES,NA,NA,NA
132,1482,Clomazone,12.7,EC50,Command 360 CS,155.7,1482_ai_a,1482_form_a,1482_1,1,Daphnia magna,Water flea,48,Herbicide,NA,Acute,Capsule Suspension,YES,NA,NA,NA
133,1482,Clomazone,34,EC50,Command 360 CS,357,1482_ai_b,1482_form_b,1482_2,1,Lemna gibba,NA,168,Herbicide,NA,Acute,Capsule Suspension,YES,NA,NA,NA
134,1482,Clomazone,2,EC50,Command 360 CS,53.3,1482_ai_c,1482_form_c,1482_4,2,Pseudokirchneriella subcapitata,NA,72,Herbicide,NA,Acute,Capsule Suspension,YES,NA,NA,NA
135,1482,Clomazone,4.1,EC50,Command 360 CS,116.1,1482_ai_c,1482_form_c,1482_3,1,Pseudokirchneriella subcapitata,NA,72,Herbicide,NA,Acute,Capsule Suspension,YES,NA,NA,NA
136,1484,Fludioxonil,>5000,LD50,Celest 025 FS,>3000,1484_ai_a,1484_form_a,1484_1,1,NA,Mammals,NA,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
137,1484,Fludioxonil,0.23,LC50,Celest 025 FS,0.583,1484_ai_b,1484_form_b,1484_2,1,Oncorhynchus mykiss,Rainbow trout,96,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
138,1481,Prosulfocarb,0.51,EC50,A-8545 C,0.42,1481_ai_a,1481_form_a,1481_1,1,Daphnia magna,Water flea,48,Herbicide,NA,Acute,UNSURE,YES,NA,NA,NA
139,1481,Prosulfocarb,0.049,EC50,80% EC,0.066,1481_ai_b,1481_form_b,1481_2,2,Pseudokirchneriella subcapitata,NA,72,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
140,1481,Prosulfocarb,0.12,EC50,80% EC,0.114,1481_ai_b,1481_form_b,1481_3,1,Pseudokirchneriella subcapitata,NA,72,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
141,1481,Prosulfocarb,>80,LD50,SF245,>79.3,1481_ai_c,1481_form_c,1481_4,1,Apis mellifera,Honeybee,NA,Herbicide,Contact,Acute,UNSURE,YES,NA,NA,NA
142,1481,Prosulfocarb,71.8,LC50,80EW,>54.5,1481_ai_d,1481_form_e,1481_5,1,Eisenia foetida,Earthworm,336,Herbicide,NA,Acute,UNSURE,YES,NA,NA,NA
143,1481,Prosulfocarb,71.8,LC50,80EC,>3,1481_ai_d,1481_form_f,1481_6,1,Eisenia foetida,Earthworm,336,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
144,1486,Quinoclamine,>2000,LD50,Mogeton,>500,1486_ai_a,1486_form_a,1486_1,1,NA,Birds,NA,Herbicide,NA,Acute,Wettable Powder,YES,NA,NA,NA
145,1486,Quinoclamine,394,LD50,Mogeton,>206,1486_ai_b,1486_form_b,1486_2,1,NA,Birds,NA,Herbicide,NA,Short-term,Wettable Powder,YES,NA,NA,NA
146,1486,Quinoclamine,500,LD50,Mogeton,>1250,1486_ai_c,1486_form_c,1486_3,1,NA,Mammals,NA,Herbicide,NA,Acute,Wettable Powder,YES,NA,NA,NA
147,1486,Quinoclamine,0.063,LC50,Mogeton,0.12,1486_ai_d,1486_form_d,1486_4,1,Oncorhynchus mykiss,Rainbow trout,96,Herbicide,NA,Acute,Wettable Powder,YES,NA,NA,NA
148,1486,Quinoclamine,2.15,EC50,Mogeton,0.93,1486_ai_e,1486_form_e,1486_5,1,Daphnia magna,Water flea,48,Herbicide,NA,Acute,Wettable Powder,YES,NA,NA,NA
149,1486,Quinoclamine,0.022,EC50,Mogeton,0.014,1486_ai_f,1486_form_f,1486_6,2,Scenedesmus subspicatus,NA,72,Herbicide,NA,Acute,Wettable Powder,YES,NA,NA,NA
150,1486,Quinoclamine,0.022,EC50,Mogeton,0.022,1486_ai_f,1486_form_f,1486_7,1,Scenedesmus subspicatus,NA,72,Herbicide,NA,Acute,Wettable Powder,YES,NA,NA,NA
151,1486,Quinoclamine,187,LC50,Mogeton,230,1486_ai_g,1486_form_g,1486_8,1,Eisenia foetida,Earthworm,336,Herbicide,NA,Acute,Wettable Powder,YES,NA,NA,NA
152,1485,Fenoxaprop-P-ethyl,>3150,LD50,Puma S69,>2769,1485_ai_a,1485_form_a,1485_1,1,NA,Rat,NA,Herbicide,NA,Acute,Oil in water emulsion,NO,YES,NA,NA
153,1485,Fenoxaprop-P-ethyl,>199,LD50,Puma S69,23.2,1485_ai_b,1485_form_b,1485_2,1,Apis mellifera,Honeybee,NA,Herbicide,Oral,Acute,Oil in water emulsion,YES,NA,NA,NA
154,1485,Fenoxaprop-P-ethyl,>200,LD50,Puma S69,>36.4,1485_ai_c,1485_form_c,1485_3,1,Apis mellifera,Honeybee,NA,Herbicide,Contact,Acute,Oil in water emulsion,YES,NA,NA,NA
155,1489,Amidosulfuron,>2000,LD50,Gratil,>2000,1489_ai_a,1489_form_a,1489_1,1,Coturnix japonica,Japanese quail,NA,Herbicide,NA,Acute,Water dispersible granule,UNSURE,NA,NA,NA
156,1489,Amidosulfuron,>320,LC50,Gratil,113.9,1489_ai_b,1489_form_b,1489_2,1,Oncorhynchus mykiss,Rainbow trout,96,Herbicide,NA,Acute,Water dispersible granule,YES,NA,NA,NA
157,1489,Amidosulfuron,36,EC50,Gratil,141.9,1489_ai_c,1489_form_c,1489_3,1,Daphnia magna,Water flea,48,Herbicide,NA,Acute,Water dispersible granule,YES,NA,NA,NA
158,1489,Amidosulfuron,47,EC50,Gratil,25.8,1489_ai_d,1489_form_d,1489_4,1,Scenedesmus subspicatus,NA,72,Herbicide,NA,Acute,Water dispersible granule,YES,NA,NA,NA
159,1489,Amidosulfuron,0.0092,EC50,Gratil,0.00773,1489_ai_e,1489_form_e,1489_5,2,Lemna gibba,NA,118,Herbicide,NA,Acute,Water dispersible granule,YES,NA,NA,NA
160,1489,Amidosulfuron,0.0092,EC50,Gratil,0.00765,1489_ai_e,1489_form_e,1489_6,1,Lemna gibba,NA,118,Herbicide,NA,Acute,Water dispersible granule,YES,NA,NA,NA
161,1489,Amidosulfuron,>1000,LC50,Gratil,>750,1489_ai_f,1489_form_f,1489_7,1,Eisenia foetida,Earthworm,336,Herbicide,NA,Acute,Water dispersible granule,YES,NA,NA,NA
162,1491,Nicosulfuron,>2000,LD50,SL-950 4% SC,>2000,1491_ai_a,1491_form_a,1491_1,1,Colinus virginianus,Bobwhite quail,NA,Herbicide,NA,Acute,Oil dispersion,UNSURE,NA,NA,NA
163,1491,Nicosulfuron,>2000,LD50,SL-950 4% SC,>2000,1491_ai_b,1491_form_b,1491_2,1,Anas platyrhynchos,Mallard duck,NA,Herbicide,NA,Acute,Oil dispersion,UNSURE,NA,NA,NA
164,1491,Nicosulfuron,65.7,LC50,SL-950 4% SC,3.1,1491_ai_c,1491_form_c,1491_3,1,Oncorhynchus mykiss,Rainbow trout,96,Herbicide,NA,Acute,Oil dispersion,YES,NA,NA,NA
165,1491,Nicosulfuron,90,EC50,SL-950 4% SC,3.3,1481_ai_d,1481_form_d,1491_4,1,Daphnia magna,Water flea,48,Herbicide,NA,Acute,Oil dispersion,YES,NA,NA,NA
166,1491,Nicosulfuron,0.0017,EC50,SL-950 4% SC,0.0024,1481_ai_e,1481_form_e,1491_5,2,Lemna gibba,NA,118,Herbicide,NA,Acute,Oil dispersion,YES,NA,NA,NA
167,1491,Nicosulfuron,0.0027,EC50,SL-950 4% SC,0.0042,1481_ai_e,1481_form_e,1491_6,1,Lemna gibba,NA,118,Herbicide,NA,Acute,Oil dispersion,YES,NA,NA,NA
168,1491,Nicosulfuron,>1000,LC50,SL-950 4% SC,>1000,1481_ai_f,1481_form_f,1491_7,1,Eisenia foetida,Earthworm,336,Herbicide,NA,Acute,Oil dispersion,UNSURE,NA,NA,NA
169,1490,Fenpropidin,>10,LD50,Tern 750 EC,99.9,1490_ai_a,1490_form_a,1490_1,1,Apis mellifera,Honeybee,NA,Fungicide,Oral,Acute,Emusifiable Concentrate,YES,NA,NA,NA
170,1490,Fenpropidin,46,LD50,Tern 750 EC,55.3,1490_ai_b,1490_form_b,1490_2,1,Apis mellifera,Honeybee,NA,Fungicide,Contact,Acute,Emusifiable Concentrate,YES,NA,NA,NA
171,1487,Acequinocyl,3.9,EC50,Kanemite,2.36,1487_ai_a,1487_form_a,1487_1,1,Daphnia magna,Water flea,48,Acaricide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
172,1505,Flutolanil,>3.2,EC50,Moncut 40 SC,12.3,1505_ai_a,1505_form_a,1505_1,1,Pseudokirchneriella subcapitata,NA,72,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
173,1500,Benfluralin,>100,EC50,Bonalan,6.91,1500_ai_a,1500_form_a,1500_1,1,Daphnia magna,Water flea,48,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
174,1500,Benfluralin,>100,EC50,Bonalan,0.23,1500_ai_b,1500_form_b,1500_2,2,Pseudokirchneriella subcapitata,NA,72,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
175,1500,Benfluralin,>100,EC50,Bonalan,0.73,1500_ai_b,1500_form_b,1500_3,1,Pseudokirchneriella subcapitata,NA,72,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
176,1500,Benfluralin,>110.7,LD50,Bonalan,>31.25,1500_ai_c,1500_form_c,1500_4,1,Apis mellifera,Honeybee,NA,Herbicide,Oral,Acute,Emusifiable Concentrate,YES,NA,NA,NA
177,1500,Benfluralin,>100,LD50,Bonalan,>100,1500_ai_d,1500_form_d,1500_5,1,Apis mellifera,Honeybee,NA,Herbicide,Contact,Acute,Emusifiable Concentrate,YES,NA,NA,NA
178,1500,Benfluralin,>500,LC50,Bonalan,139.5,1500_ai_e,1500_form_e,1500_6,1,Eisenia foetida,Earthworm,336,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
179,1503,Buprofezin,>0.42,EC50,Applaud 25 WP,>1.5,1503_ai_a,1503_form_a,1503_1,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Wettable Powder,YES,NA,NA,NA
180,1503,Buprofezin,>2.1,EC50,Applaud 25 WP,>1,1503_ai_b,1503_form_b,1503_2,2,Selenastrum capricornutum,NA,96,Insecticide,NA,Acute,Wettable Powder,YES,NA,NA,NA
181,1503,Buprofezin,>2.1,EC50,Applaud 25 WP,>1,1503_ai_b,1503_form_b,1503_3,1,Selenastrum capricornutum,NA,96,Insecticide,NA,Acute,Wettable Powder,YES,NA,NA,NA
182,1503,Buprofezin,>163.5,LD50,Applaud 25 WP,>100,1503_ai_c,1503_form_c,1503_4,1,Apis mellifera,Honeybee,NA,Insecticide,Oral,Acute,Wettable Powder,YES,NA,NA,NA
183,1503,Buprofezin,>200,LD50,Applaud 25 WP,>100,1503_ai_d,1503_form_d,1503_5,1,Apis mellifera,Honeybee,NA,Insecticide,Contact,Acute,Wettable Powder,YES,NA,NA,NA
184,1503,Buprofezin,>500,LC50,Applaud 25 WP,>500,1503_ai_e,1503_form_e,1503_6,1,Eisenia foetida,Earthworm,336,Insecticide,NA,Acute,Wettable Powder,YES,NA,NA,NA
185,1498,Bromucanazole,0.061,EC50,EXP10064C,1.59,1498_ai_a,1498_form_a,1498_1,2,Pseudokirchneriella subcapitata,NA,120,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
186,1498,Bromucanazole,0.169,EC50,EXP10064C,2.88,1498_ai_a,1498_form_a,1498_2,1,Pseudokirchneriella subcapitata,NA,120,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
187,1498,Bromucanazole,>500,LC50,EXP10064B,117,1498_ai_b,1498_form_b,1498_3,1,Eisenia foetida,Earthworm,NA,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
188,1499,Fluazinam,4100,LD50,Fluazinam 500 SC,>2000,1499_ai_a,1499_form_a,1499_1,1,Rattus norvegicus,NA,NA,Fungicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
189,1499,Fluazinam,>100,LD50,Fluazinam 500 SC,>101,1499_ai_b,1499_form_b,1499_2,1,Apis mellifera,Honeybee,NA,Fungicide,Oral,Acute,Suspension Concentrate,YES,NA,NA,NA
190,1499,Fluazinam,>500,LC50,Fluazinam 500 SC,>341,1499_ai_c,1499_form_c,1499_3,1,Eisenia foetida,Earthworm,336,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
191,1502,Epoxiconazole,1.19,EC50,Opus,0.1,1502_ai_a,1502_form_a,1502_1,1,Pseudokirchneriella subcapitata,NA,72,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
192,1502,Epoxiconazole,8.69,EC50,Opus,0.22,1502_ai_b,1502_form_b,1502_2,1,Daphnia magna,Water flea,48,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
193,1502,Epoxiconazole,3.14,LC50,Opus,0.059,1502_ai_c,1502_form_c,1502_3,1,Oncorhynchus mykiss,Rainbow trout,96,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
194,1502,Epoxiconazole,>83,LD50,Opus,>69.9,1502_ai_d,1502_form_d,1502_4,1,Apis mellifera,Honeybee,NA,Fungicide,Oral,Acute,Suspension Concentrate,YES,NA,NA,NA
195,1502,Epoxiconazole,>100,LD50,Opus,>59.7,1502_ai_e,1502_form_e,1502_5,1,Apis mellifera,Honeybee,NA,Fungicide,Contact,Acute,Suspension Concentrate,YES,NA,NA,NA
196,1502,Epoxiconazole,>500,LC50,Opus,>62.5,1502_ai_f,1502_form_f,1502_6,1,NA,Earthworm,NA,Fungicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
197,1496,Tralkoxydim,>175,EC50,YF 7763B,163,1496_ai_a,1496_form_a,1496_1,1,Daphnia magna,Water flea,NA,Herbicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
198,1496,Tralkoxydim,>100,LD50,A-12706 A,>100,1496_ai_b,1496_form_b,1496_2,1,Apis mellifera,Honeybee,NA,Herbicide,Contact,Acute,Suspension Concentrate,YES,NA,NA,NA
199,1496,Tralkoxydim,>1000,LC50,A-12706 A,>1000,1496_ai_c,1496_form_c,1496_3,1,Eisenia foetida,Earthworm,336,Herbicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
200,1501,Fenpropimorph,2.24,EC50,RO 14-3169/002,1.13,1501_ai_b,1501_form_b,1501_2,1,Daphnia magna,Water flea,48,Fungicide,NA,Acute,UNSURE,YES,NA,NA,NA
201,1501,Fenpropimorph,>95.6,LD50,BAS 421 12 F,>79.5,1501_ai_c,1501_form_c,1501_3,1,Apis mellifera,Honeybee,NA,Fungicide,Oral,Acute,UNSURE,UNSURE,NA,NA,NA
202,1501,Fenpropimorph,>100,LD50,BAS 421 12 F,>100,1501_ai_d,1501_form_d,1501_4,1,Apis mellifera,Honeybee,NA,Fungicide,Contact,Acute,UNSURE,UNSURE,NA,NA,NA
203,1495,Metazachlor,33,EC50,Fuego,29.7,1495_ai_a,1495_form_a,1495_1,1,Daphnia magna,Water flea,48,Herbicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
204,1495,Metazachlor,0.0162,EC50,BAS 479 22H,0.0076,1495_ai_b,1495_form_b,1495_2,2,Pseudokirchneriella subcapitata,NA,72,Herbicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
205,1495,Metazachlor,0.0088,EC50,Fuego,0.0279,1495_ai_c,1495_form_c,1495_3,2,Scenedesmus subspicatus,NA,72,Herbicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
206,1495,Metazachlor,0.0318,EC50,BAS 479 22H,0.012,1495_ai_b,1495_form_b,1495_4,1,Pseudokirchneriella subcapitata,NA,72,Herbicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
207,1495,Metazachlor,0.031,EC50,Fuego,0.0488,1495_ai_c,1495_form_c,1495_5,1,Scenedesmus subspicatus,NA,72,Herbicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
208,1495,Metazachlor,0.0023,EC50,BAS 479 22H,0.0022,1495_ai_d,1495_form_d,1495_6,2,Lemna gibba,NA,118,Herbicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
209,1495,Metazachlor,0.0071,EC50,BAS 479 22H,0.014,1495_ai_d,1495_form_d,1495_7,1,Lemna gibba,NA,118,Herbicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
210,1495,Metazachlor,>72.19,LD50,BAS 479 22H,>92.12,1495_ai_e,1495_form_e,1495_8,1,Apis mellifera,Honeybee,NA,Herbicide,Oral,Acute,Suspension Concentrate,YES,NA,NA,NA
211,1495,Metazachlor,>100,LD50,BAS 479 22H,>100,1495_ai_f,1495_form_f,1495_9,1,Apis mellifera,Honeybee,NA,Herbicide,Contact,Acute,Suspension Concentrate,YES,NA,NA,NA
212,1495,Metazachlor,>500,LC50,BAS 479 22H,>250,1495_ai_g,1495_form_g,1495_10,1,NA,Earthworm,336,Herbicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
213,1513,Aclonifen,>5000,LD50,Bandur SC 600,2770,1513_ai_a,1513_form_a,1515_1,1,NA,Rat,NA,Herbicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
214,1513,Aclonifen,>107,LD50,Bandur SC 600,>142,1513_ai_b,1513_form_b,1515_2,1,Apis mellifera,Honeybee,NA,Herbicide,Oral,Acute,Suspension Concentrate,NO,YES,NA,NA
215,1513,Aclonifen,>100,LD50,Bandur SC 600,>123,1513_ai_c,1513_form_c,1515_3,1,Apis mellifera,Honeybee,NA,Herbicide,Contact,Acute,Suspension Concentrate,NO,YES,NA,NA
216,1513,Aclonifen,150,LC50,Bandur SC 600,97,1513_ai_d,1513_form_d,1515_4,1,Eisenia foetida,Earthworm,336,Herbicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
217,1506,Sulcotrione,>5000,LD50,Mikado,>2000,1506_ai_a,1506_form_a,1506_1,1,NA,Rat,NA,Herbicide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
218,1506,Sulcotrione,227,LC50,Mikado,100,1506_ai_b,1506_form_b,1506_2,1,Oncorhynchus mykiss,Rainbow trout,96,Herbicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
219,1506,Sulcotrione,>848,EC50,Mikado,200,1506_ai_c,1506_form_c,1506_3,1,Daphnia magna,Water flea,48,Herbicide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
220,1506,Sulcotrione,50,LD50,Mikado,229,1506_ai_d,1506_form_d,1506_4,1,Apis mellifera,Honeybee,NA,Herbicide,Oral,Acute,Suspension Concentrate,NO,YES,NA,NA
221,1506,Sulcotrione,200,LD50,Mikado,229,1506_ai_e,1506_form_e,1506_5,1,Apis mellifera,Honeybee,NA,Herbicide,Contact,Acute,Suspension Concentrate,NO,YES,NA,NA
