DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,FORM_NAME,FORM_50,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
382,1534,Cyflufenamid,>100,LD50,NF-149 EW,>15.51,1548_ai_e,1548_form_e,1548_6,1,Apis mellifera,Honeybee,NA,Fungicide,Contact,Acute,Oil in water emulsion,YES,NA,NA,NA
383,1534,Cyflufenamid,>500,LC50,NF-149 EW,>25,1548_ai_f,1548_form_f,1548_7,1,NA,Earthworm,336,Fungicide,NA,Acute,Oil in water emulsion,YES,NA,NA,NA
384,1554,Clofentezine,>0.0146,LC50,Apollo 50 SC,>10,1554_ai_a,1554_form_a,1554_1,1,Oncorhynchus mykiss,Rainbow trout,96,Acaricide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
385,1554,Clofentezine,>0.25,LC50,Apollo 50 SC,>100,1554_ai_b,1554_form_b,1554_2,1,Lepomis macrochirus,Bluegill sunfish,96,Acaricide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
386,1554,Clofentezine,>0.00084,EC50,Apollo 50 SC,>100,1554_ai_c,1554_form_c,1554_3,1,Daphnia magna,Water flea,48,Acaricide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
387,1554,Clofentezine,>252.6,LD50,Apollo 50 SC,>293.7,1554_ai_d,1554_form_d,1554_4,1,Apis mellifera,Honeybee,NA,Acaricide,Oral,Acute,Suspension Concentrate,NO,YES,NA,NA
388,1554,Clofentezine,>84.5,LD50,Apollo 50 SC,>98.25,1554_ai_e,1554_form_e,1554_5,1,Apis mellifera,Honeybee,NA,Acaricide,Contact,Acute,Suspension Concentrate,NO,YES,NA,NA
389,1562,Captan,>100,LD50,Merpan,>169.3,1562_ai_a,1562_form_a,1562_1,1,Apis mellifera,Honeybee,NA,Fungicide,Oral,Acute,Water dispersible granule,YES,NA,NA,NA
390,1562,Captan,>100,LD50,Merpan,>200,1562_ai_b,1562_form_b,1562_2,1,Apis mellifera,Honeybee,NA,Fungicide,Contact,Acute,Water dispersible granule,YES,NA,NA,NA
391,1562,Captan,>259.7,LC50,Melvin,419.5,1562_ai_c,1562_form_c,1562_3,1,NA,Earthworm,336,Fungicide,NA,Acute,Wettable Powder,YES,NA,NA,NA
392,1559,Folpet,>2000,LD50,Folpan 80 WDG,>2000,1559_ai_a,1559_form_a,1559_1,1,NA,Rat,NA,Fungicide,NA,Acute,Water dispersible granule,UNSURE,NA,NA,NA
393,1559,Folpet,>236,LD50,Folpan 80 WDG,>179,1559_ai_b,1559_form_b,1559_2,1,Apis mellifera,Honeybee,NA,Fungicide,Oral,Acute,Water dispersible granule,YES,NA,NA,NA
394,1559,Folpet,>200,LD50,Folpan 80 WDG,>160,1559_ai_c,1559_form_c,1559_3,1,Apis mellifera,Honeybee,NA,Fungicide,Contact,Acute,Water dispersible granule,YES,NA,NA,NA
395,1559,Folpet,>500,LC50,Folpan 80 WDG,>414,1559_ai_d,1559_form_d,1559_4,1,NA,Earthworm,336,Fungicide,NA,Acute,Water dispersible granule,YES,NA,NA,NA
396,1555,Myclobutanil,2,LC50,Systhane 20 EW,2.04,1555_ai_a,1555_form_a,1555_1,1,Oncorhynchus mykiss,Rainbow trout,96,Fungicide,NA,Acute,Oil in water emulsion,YES,NA,NA,NA
397,1555,Myclobutanil,17,EC50,Systhane 20 EW,1.41,1555_ai_b,1555_form_b,1555_2,1,Daphnia magna,Water flea,48,Fungicide,NA,Acute,Oil in water emulsion,YES,NA,NA,NA
398,1552,Carbofuran,0.0094,EC50,Furadan 5G,0.00205,1552_ai_a,1552_form_a,1552_1,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Granule,YES,NA,NA,NA
399,1563,Pyriproxyfen,94,EC50,Pyriproxyfen 10 EC,74,1563_ai_a,1563_form_a,1563_1,2,Pseudokirchneriella subcapitata,NA,72,Insecticide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
400,1563,Pyriproxyfen,150,EC50,Pyriproxyfen 10 EC,110,1563_ai_a,1563_form_a,1563_2,1,Pseudokirchneriella subcapitata,NA,72,Insecticide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
401,1558,Spirodiclofen,>0.06,EC50,Envidor SC 240,>4.62,1558_ai_a,1558_form_a,1558_1,2,Pseudokirchneriella subcapitata,NA,96,Insecticide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
402,1558,Spirodiclofen,>0.06,EC50,Envidor SC 240,>4.62,1558_ai_a,1558_form_a,1558_2,1,Pseudokirchneriella subcapitata,NA,96,Insecticide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
403,1558,Spirodiclofen,>0.0508,EC50,Envidor SC 240,>100,1558_ai_b,1558_form_b,1558_3,1,Daphnia magna,Water flea,48,Insecticide,NA,Acute,Suspension Concentrate,UNSURE,NA,NA,NA
404,1558,Spirodiclofen,>196,LD50,Envidor SC 240,>100,1558_ai_c,1558_form_c,1558_4,1,Apis mellifera,Honeybee,NA,Insecticide,Oral,Acute,Suspension Concentrate,YES,NA,NA,NA
405,1558,Spirodiclofen,>200,LD50,Envidor SC 240,>100,1558_ai_d,1558_form_d,1558_5,1,Apis mellifera,Honeybee,NA,Insecticide,Contact,Acute,Suspension Concentrate,YES,NA,NA,NA
406,1558,Spirodiclofen,>1000,LC50,Envidor SC 240,>226,1558_ai_e,1558_form_e,1558_6,1,NA,Earthworm,NA,Insecticide,NA,Acute,Suspension Concentrate,YES,NA,NA,NA
407,1564,Penoxsulam,>5000,LD50,penoxsulam DE-638,>100,1564_ai_a,1564_form_a,1564_1,1,NA,Rat,NA,Herbicide,NA,Acute,Oil dispersion,NO,YES,NA,NA
408,1564,Penoxsulam,>2000,LD50,penoxsulam DE-638,>54,1564_ai_b,1564_form_b,1564_2,1,Anas platyrhynchos,Mallard duck,NA,Herbicide,NA,Acute,Oil dispersion,YES,NA,NA,NA
