DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,AI_ERROR_LOWER,AI_ERROR_HIGHER,AI_ERROR_TYPE,AI_N_CONTAINER,AI_N_INDIVIDUALS_PER_CONTAINER,AI_N_STRUCTURE,FORM_NAME,FORM_50,FORM_50_TYPE,FORM_ERROR_LOWER,FORM_ERROR_HIGHER,FORM_ERROR_TYPE,FORM_N_CONTAINER,FORM_N_INDIVIDUALS_PER_CONTAINER,FORM_N_STRUCTURE,CI_METHOD,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,STRAIN_CLONE_SOURCE,SPECIES_CLASS,SPECIES_PHYLUM,SPECIES_KINGDOM,ECOSYSTEM,LIFE_STAGE,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,NANO_FORMULATION,BIO_FORMULATION,SEX,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,TEMPERATURE_°C,PH,FEEDING_STATE,AGE_TEST_ORGANISM_HOURS,REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED,GUIDELINES,WATER_HARDNESS_mg_L_Ca_CO3,SE_SIMULATION_REQUIRED,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
41,868,Ivermectin,512.528,LC50,108.014,150.215,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,438.94,LC50,112.519,169.182,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_a,868_form_a,868_1,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,264,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 4-6,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
42,868,Ivermectin,512.528,LC50,108.014,150.215,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,438.94,LC50,112.519,169.182,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_a,868_form_a,868_1,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,288,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 4-6,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
43,868,Ivermectin,512.528,LC50,108.014,150.215,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,148.492,LC50,38.345,55.527,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_a,868_form_a,868_1,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,312,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 4-6,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
44,868,Ivermectin,412.731,LC50,85.994,108.383,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,19.0519,LC50,10.2021,14.1037,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_a,868_form_a,868_1,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,336,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 4-6,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
45,868,Ivermectin,369.648,LC50,77.929,95.5,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,19.0519,LC50,10.2021,14.1037,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_a,868_form_a,868_1,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,360,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 4-6,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
46,868,Ivermectin,317.39,LC50,69.949,83.793,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,16.8578,LC50,9.681267,13.7489,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_a,868_form_a,868_1,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,384,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 4-6,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
47,868,Ivermectin,317.39,LC50,69.949,83.793,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,16.8578,LC50,9.681267,13.7489,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_a,868_form_a,868_1,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,408,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 4-6,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
48,868,Ivermectin,317.39,LC50,69.949,83.793,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,10.9749,LC50,5.3449,14.9374,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_a,868_form_a,868_1,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,432,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 4-6,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
49,868,Ivermectin,317.39,LC50,69.949,83.793,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,10.9749,LC50,5.3449,14.9374,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_a,868_form_a,868_1,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,456,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 4-6,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
50,868,Ivermectin,317.39,LC50,69.949,83.793,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,10.9749,LC50,5.3449,14.9374,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_a,868_form_a,868_1,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,480,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 4-6,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
