DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,AI_ERROR_LOWER,AI_ERROR_HIGHER,AI_ERROR_TYPE,AI_N_CONTAINER,AI_N_INDIVIDUALS_PER_CONTAINER,AI_N_STRUCTURE,FORM_NAME,FORM_50,FORM_50_TYPE,FORM_ERROR_LOWER,FORM_ERROR_HIGHER,FORM_ERROR_TYPE,FORM_N_CONTAINER,FORM_N_INDIVIDUALS_PER_CONTAINER,FORM_N_STRUCTURE,CI_METHOD,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,STRAIN_CLONE_SOURCE,SPECIES_CLASS,SPECIES_PHYLUM,SPECIES_KINGDOM,ECOSYSTEM,LIFE_STAGE,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,NANO_FORMULATION,BIO_FORMULATION,SEX,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,TEMPERATURE_°C,PH,FEEDING_STATE,AGE_TEST_ORGANISM_HOURS,REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED,GUIDELINES,WATER_HARDNESS_mg_L_Ca_CO3,SE_SIMULATION_REQUIRED,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
51,868,Ivermectin,312.801,LC50,95.084,110.099,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,10.25,LC50,7.93,15.6,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_a,868_form_a,868_1,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Embryo,504,Anti-parasitic,NO,MAYBE,NA,Environmental,Chronic,20,NA,Fed,Stage 4-6,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
52,868,Ivermectin,>100000,LC50,NA,NA,NA,3,10,"10 embryos, triplicates",FACyT SRL,4015.76,LC50,86.729,95.803,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,24,Anti-parasitic,NO,MAYBE,NA,Environmental,Acute ,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,YES,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
53,868,Ivermectin,969.384,LC50,144.435,215.306,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,2594.42,LC50,223.99,256.783,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,48,Anti-parasitic,NO,MAYBE,NA,Environmental,Acute ,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
54,868,Ivermectin,810.872,LC50,112.215,159.881,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,1582.12,LC50,201.04,180.59,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,72,Anti-parasitic,NO,MAYBE,NA,Environmental,Acute ,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
55,868,Ivermectin,800.823,LC50,122.097,186.902,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,1552.64,LC50,171.56,210.07,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,96,Anti-parasitic,NO,MAYBE,NA,Environmental,Acute ,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
56,868,Ivermectin,800.823,LC50,122.097,186.902,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,1198.77,LC50,133.09,166.33,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,120,Anti-parasitic,NO,MAYBE,NA,Environmental,Acute ,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
57,868,Ivermectin,800.823,LC50,122.097,186.902,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,1198.77,LC50,133.09,166.33,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,144,Anti-parasitic,NO,MAYBE,NA,Environmental,Acute ,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
58,868,Ivermectin,750.571,LC50,116.802,169.559,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,890.52,LC50,38.5825,218.543,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,168,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
59,868,Ivermectin,750.571,LC50,116.802,169.559,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,890.52,LC50,38.5825,218.543,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,192,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
60,868,Ivermectin,363.047,LC50,49.431,61.462,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,691.794,LC50,89.598,114.697,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,216,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
61,868,Ivermectin,289.47,LC50,38.761,49.968,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,691.794,LC50,89.598,114.697,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,240,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
62,868,Ivermectin,274.251,LC50,37.621,48.631,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,536.95,LC50,76.043,96.075,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,264,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
63,868,Ivermectin,274.251,LC50,37.621,48.631,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,536.95,LC50,76.043,96.075,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,288,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
64,868,Ivermectin,274.251,LC50,37.621,48.631,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,509.559,LC50,72.512,91.085,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,312,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
65,868,Ivermectin,256.501,LC50,34.891,45.079,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,339.624,LC50,66.498,79.548,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,336,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
66,868,Ivermectin,256.501,LC50,34.891,45.079,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,339.624,LC50,66.498,79.548,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,360,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
67,868,Ivermectin,256.501,LC50,34.891,45.079,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,275.501,LC50,70.595,79.261,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,384,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
68,868,Ivermectin,256.501,LC50,34.891,45.079,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,275.501,LC50,70.595,79.261,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,408,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
69,868,Ivermectin,211.109,LC50,30.051,39.342,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,237.452,LC50,72.096,77.353,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,432,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
70,868,Ivermectin,211.109,LC50,30.051,39.342,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,237.452,LC50,72.096,77.353,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,456,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
71,868,Ivermectin,211.109,LC50,30.051,39.342,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,237.452,LC50,72.096,77.353,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,480,Anti-parasitic,NO,MAYBE,NA,Environmental,Sub-chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
72,868,Ivermectin,195.252,LC50,30.606,40.025,CI_95,3,10,"10 embryos, triplicates",FACyT SRL,77.332,LC50,11.7317,14.9014,CI_95,3,10,"10 embryos, triplicates",Probit,868_ai_v,868_form_v,868_2,1,Rhinella arenarum,NA,Not indicated,Amphibia,Chordata,Animalia,Aquatic/Terrestrial,Larvae,504,Anti-parasitic,NO,MAYBE,NA,Environmental,Chronic,20,NA,Fed,Stage 25,YES,AMPHITOX,NA,NO,Subcutaneous injectable solution,YES,NA,2024,It is an anti parasitic so is it a pesticide? Indicated to control nematodes in cattle
73,250,Glyphosate,>100,LC50,NA,NA,NA,1,20,"20 embryos per concentration group, 1 in one well",Roundup Original ® ,18.55,LC50,1.65,1.83,CI_95,1,20,"20 embryos per concentration group, 1 in one well",NA,250_ai_a,250_form_a,250_1,1,Danio rerio ,Zebrafish,School of Pharmaceutical Sciences of Ribeirão Preto (University of São Paulo) ,Actinopterygii,Chordata,Animalia,Aquatic,Embryo,96,Herbicide,NO,NO,NA,Environmental,Acute,27.5,NA,No feeding,3-4 hpf,YES,OECD,NA,YES,Soluble concentrate,YES,NA,2024,
74,298,Tebuconazole,6.7,EC50,1.5,1.5,CI_95,4,7,"7/vessel, 4 replicates",FOLICUR ® ,9.6,EC50,1.5,1.5,CI_95,4,7,"7/vessel, 4 replicates",Four parameter logistic ,298_ai_a,298_form_a,298_1,1,Daphnia magna,Water flea,Not indicated,Branchiopoda,Arthropoda,Animalia,Aquatic,Neonate,48,Fungicide,NO,NO,NA,Environmental,Acute,20,8,NA,NA,YES,OECD,NA,NO,Oil in water emulsion,YES,NA,2024,They also tested nano formulations but are not commercial ones 
75,824,Isoxaflutole,0.03,EC50,0,0,SD,3,1,3 replicates ,Merlin Flexx,6.8,EC50,0.2,0.2,SD,3,1,3 replicates ,Not mentionned,824_ai_a,824_form_a,824_1,1,Raphidocelis subcapitata,NA,"NIVA-CHL1, Norwegian Institute for Water Research",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Aqueous suspension concentrate,YES,NA,2024,Three different measurements for one experiment 
76,824,Isoxaflutole,0.02,EC50,0,0,SD,3,1,3 replicates ,Merlin Flexx,5.84,EC50,0.32,0.32,SD,3,1,3 replicates ,Not mentionned,824_ai_a,824_form_a,824_1,2,Raphidocelis subcapitata,NA,"NIVA-CHL1, Norwegian Institute for Water Research",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Aqueous suspension concentrate,YES,NA,2024,Three different measurements for one experiment 
77,824,Isoxaflutole,0.02,EC50,0,0,SD,3,1,3 replicates,Merlin Flexx,5.48,EC50,0.48,0.48,SD,3,1,3 replicates,Not mentionned,824_ai_a,824_form_a,824_1,3,Raphidocelis subcapitata,NA,"NIVA-CHL1, Norwegian Institute for Water Research",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Aqueous suspension concentrate,YES,NA,2024,Three different measurements for one experiment 
78,824,Isoxaflutole,0.03,EC50,0,0,SD,3,1,3 replicates,Merlin WG75,0.55,EC50,0.17,0.17,SD,3,1,3 replicates,Not mentionned,824_ai_a,824_form_d,824_2,1,Raphidocelis subcapitata,NA,"NIVA-CHL1, Norwegian Institute for Water Research",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Water-dispersible granules,YES,NA,2024,Three different measurements for one experiment 
79,824,Isoxaflutole,0.02,EC50,0,0,SD,3,1,3 replicates,Merlin WG75,0.5,EC50,0.07,0.07,SD,3,1,3 replicates,Not mentionned,824_ai_a,824_form_d,824_2,2,Raphidocelis subcapitata,NA,"NIVA-CHL1, Norwegian Institute for Water Research",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Water-dispersible granules,YES,NA,2024,Three different measurements for one experiment 
80,824,Isoxaflutole,0.02,EC50,0,0,SD,3,1,3 replicates,Merlin WG75,0.43,EC50,0.11,0.11,SD,3,1,3 replicates,Not mentionned,824_ai_a,824_form_d,824_2,3,Raphidocelis subcapitata,NA,"NIVA-CHL1, Norwegian Institute for Water Research",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Water-dispersible granules,YES,NA,2024,Three different type measurements for one experiment 
81,271,Glyphosate IPA salt ,125.2,EC50,16.5,16.5,CI_95,3,1,"3 plates per concentration, 3 replicates",Roundup Classic ,5.1,EC50,1.3,1.3,CI_95,3,3,"3 plates per concentration, 3 replicates",ToxRat Pro software,271_ai_a,271_form_b,271_1,1,Pseudokirchneriella subcapitata,NA,"NIVA-CHL1, Norwegian Institute for Water Research",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Liquid water soluble concentrate,YES,NA,2024,"Two type of measurements for one experiment, not mentionned if the error is a CI or SE, following research on the software used I inferred it was a CI "
82,271,Glyphosate IPA salt ,105.3,EC50,17.8,17.8,CI_95,3,1,"3 plates per concentration, 3 replicates",Roundup Classic ,14.5,EC50,1.36,1.36,CI_95,3,3,"3 plates per concentration, 3 replicates",ToxRat Pro software,271_ai_a,271_form_b,271_2,2,Pseudokirchneriella subcapitata,NA,"NIVA-CHL1, Norwegian Institute for Water Research",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Liquid water soluble concentrate,YES,NA,2024,"Two type of measurements for one experiment, not mentionned if the error is a CI or SE, following research on the software used I inferred it was a CI "
83,271,Glyphosate IPA salt ,125.2,EC50,16.5,16.5,CI_95,3,1,"3 plates per concentration, 3 replicates",Medallon Premium,42.7,EC50,4.7,4.7,CI_95,3,3,"3 plates per concentration, 3 replicates",ToxRat Pro software,271_ai_a,271_form_c,271_3,1,Pseudokirchneriella subcapitata,NA,"NIVA-CHL1, Norwegian Institute for Water Research",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Liquid water soluble concentrate,YES,NA,2024,"Two type of measurements for one experiment, not mentionned if the error is a CI or SE, following research on the software used I inferred it was a CI "
84,271,Glyphosate IPA salt ,132.9,EC50,2.3,2.3,CI_95,3,1,"3 plates per concentration, 3 replicates",Roundup Classic ,14.1,EC50,2.9,2.9,CI_95,3,3,"3 plates per concentration, 3 replicates",ToxRat Pro software,271_ai_b,271_form_d,271_4,1,Desmodesmus subspicatus,NA,"CCAP 276/20, Scottish Culture Collection of Algae and Protozoa",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Liquid water soluble concentrate,YES,NA,2024,"Two type of measurements for one experiment, not mentionned if the error is a CI or SE, following research on the software used I inferred it was a CI "
85,271,Glyphosate IPA salt ,73.8,EC50,5.3,5.3,CI_95,3,1,"3 plates per concentration, 3 replicates",Roundup Classic ,13.4,EC50,3.8,3.8,CI_95,3,3,"3 plates per concentration, 3 replicates",ToxRat Pro software,271_ai_b,271_form_d,271_5,2,Desmodesmus subspicatus,NA,"CCAP 276/20, Scottish Culture Collection of Algae and Protozoa",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Liquid water soluble concentrate,YES,NA,2024,"Two type of measurements for one experiment, not mentionned if the error is a CI or SE, following research on the software used I inferred it was a CI "
86,271,Glyphosate IPA salt ,132.9,EC50,2.3,2.3,CI_95,3,1,"3 plates per concentration, 3 replicates",Medallon Premium,245.1,EC50,32.8,32.8,CI_95,3,3,"3 plates per concentration, 3 replicates",ToxRat Pro software,271_ai_b,271_form_e,271_6,1,Desmodesmus subspicatus,NA,"CCAP 276/20, Scottish Culture Collection of Algae and Protozoa",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Liquid water soluble concentrate,YES,NA,2024,"Two type of measurements for one experiment, not mentionned if the error is a CI or SE, following research on the software used I inferred it was a CI "
87,271,Glyphosate IPA salt ,73.1,EC50,21.2,21.2,CI_95,3,1,"3 plates per concentration, 3 replicates",Roundup Classic ,27.3,EC50,3.7,3.7,CI_95,3,3,"3 plates per concentration, 3 replicates",ToxRat Pro software,271_ai_c,271_form_f,271_7,1,Scenedesmus obtusiusculus,NA,"CCAP 276/25, Scottish Culture Collection of Algae and Protozoa",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Liquid water soluble concentrate,YES,NA,2024,"Two type of measurements for one experiment, not mentionned if the error is a CI or SE, following research on the software used I inferred it was a CI "
88,271,Glyphosate IPA salt ,51.1,EC50,2.6,2.6,CI_95,3,1,"3 plates per concentration, 3 replicates",Roundup Classic ,10.5,EC50,3.5,3.5,CI_95,3,3,"3 plates per concentration, 3 replicates",ToxRat Pro software,271_ai_c,271_form_f,271_8,2,Scenedesmus obtusiusculus,NA,"CCAP 276/25, Scottish Culture Collection of Algae and Protozoa",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Liquid water soluble concentrate,YES,NA,2024,"Two type of measurements for one experiment, not mentionned if the error is a CI or SE, following research on the software used I inferred it was a CI "
89,271,Glyphosate IPA salt ,73.1,EC50,21.2,21.2,CI_95,3,1,"3 plates per concentration, 3 replicates",Medallon Premium,233.8,EC50,58.4,58.4,CI_95,3,3,"3 plates per concentration, 3 replicates",ToxRat Pro software,271_ai_c,271_form_g,271_9,1,Scenedesmus obtusiusculus,NA,"CCAP 276/25, Scottish Culture Collection of Algae and Protozoa",Chlorophyceae,Chlorophyta,Plantae,Aquatic,NA,72,Herbicide,NO,NO,NA,Environmental,Acute,22,6.5,NA,NA,YES,OECD,NA,NO,Liquid water soluble concentrate,YES,NA,2024,"Two type of measurements for one experiment, not mentionned if the error is a CI or SE, following research on the software used I inferred it was a CI "
90,729,Fenpropathrin,0.156,LC50,0.035,0.035,CI_95,3,20,"24 well plate, 3 run ",Meothrin,0.318,LC50,0.072,0.098,CI_95,9,20,"24 well plate, 3 run with 3 replications each run",Probit,729_ai_a,729_form_b,729_1,1,Danio rerio ,Zebrafish,"Fish Farm, College of Fisheries, Assam Agricultural University, Raha",Actinopterygii,Chordata,Animalia,Aquatic,Embryo,96,Insecticide,Microencapsulation,NO,NA,Environmental,Acute,26.2,7.9,NA,3-4 hpf,YES,OECD,78.8,NO,Emulsifiable concentrate ,NO,YES,2023,"Not 100 sure but think that concentrations needed to be adjusted , sample size from guidelines "
91,729,Fenpropathrin,0.156,LC50,0.035,0.035,CI_95,3,20,"24 well plate, 3 run ",Danitol,0.1168,LC50,0.0255,0.0335,CI_95,9,20,"24 well plate, 3 run with 3 replications each run",Probit,729_ai_a,729_form_c,729_2,1,Danio rerio ,Zebrafish,"Fish Farm, College of Fisheries, Assam Agricultural University, Raha",Actinopterygii,Chordata,Animalia,Aquatic,Embryo,96,Insecticide,Microencapsulation,NO,NA,Environmental,Acute,26.2,7.9,NA,3-4 hpf,YES,OECD,78.8,NO,Emulsifiable concentrate ,NO,YES,2023,"Not 100 sure but think that concentrations needed to be adjusted , sample size from guidelines "
92,262,Abamectin,58.6,LC50,4.7,4.7,CI_95,3,3,"3 fish/container, triplicates ",Kraft 36 EC ® ,49.3,LC50,2.7,2.8,CI_95,3,3,"3 fish/container, triplicates ",Three parameter logistic ,262_ai_a,262_form_a,262_1,1,Danio rerio ,Zebrafish,"Local commercial hatchery in São Carlos (SP, Brazil).",Actinopterygii,Chordata,Animalia,Aquatic,Adult,48,Insecticide,NO,NO,NA,Environmental,Acute,24,7.6,No feeding,NA,YES,ABNT,44,NO,Emulsifiable concentrate ,YES,NA,2024,"Data is coming from two papers, this one and AD_1"
93,262,Difenoconazole,1.41,LC50,0.01,0.02,CI_95,3,3,"3 fish/container, triplicates ",Score 250 EC ® ,1.66,LC50,0.02,0.02,CI_95,3,3,"3 fish/container, triplicates ",Three parameter logistic ,262_ai_b,262_form_b,262_2,1,Danio rerio ,Zebrafish,"Local commercial hatchery in São Carlos (SP, Brazil).",Actinopterygii,Chordata,Animalia,Aquatic,Adult,48,Fungicide,NO,NO,NA,Environmental,Acute,24,7.6,No feeding,NA,YES,ABNT,44,NO,Soluble concentrate,YES,NA,2024,"Data is coming from two papers, this one and AD_2"
94,574,Glufosinate-ammonium,>13.12,EC50,NA,NA,NA,2,3,"Triplicates, 2 independant experiments ",Finale Ultra ®,>13.12,EC50,NA,NA,NA,2,3,"Triplicates, 2 independant experiments ",Not mentionned,574_ai_a,574_form_a,574_1,1,NA,HepG2 cell line,"ATCC (Manassas, VA, USA)",NA,NA,NA,NA,NA,24,Herbicide,NO,NO,NA,Environmental,Acute,NA,NA,NA,NA,NO,NA,NA,YES,Soluble concentrate,YES,NA,2023,Cell line so lots of columns don't apply + they actually investigate sublethal effects so maybe not relevant 
